company_canonical,aircraft_name,aka,year_from,year_to,powertrain,mtow_kg,payload_kg,pax,cruise_speed_kmh,max_speed_kmh,range_km,endurance_min,spec_source,notes
Horizon Aircraft,Cavorite X5,,2019,2030,HybridElectric,,,,,,,,,Fan-in-wing with hybrid range extender.
Doroni Aerospace,H1,,2021,2030,BatteryElectric,,,,,,,,,Two-seat personal eVTOL.
Hoversurf,Hoverbike S3,,2016,2022,BatteryElectric,,,,,,,,,Single-occupant open-rotor hoverbike.
AMSL Innovations,Vertiia,,2018,2030,HydrogenFuelCell,,,,,,,,,Announced as hydrogen-electric; earlier prototypes battery-only.
Ascendance Flight Technologies,ATEA,,2018,2030,HybridElectric,,,,,,,,,STERNA hybrid powertrain.
Zuri,Zuri 2.0,,2017,2030,HybridElectric,,,,,,,,,Turbine range extender with electric lift rotors.
Wofei / Geely Aviation,AE200,,2019,2030,BatteryElectric,,,,,,,,,Tilt-rotor; Aerofugia/Volant lineage.
CycloTech,BlackBird,,2020,2030,BatteryElectric,,,,,,,,,Cyclorotor demonstrator.
Pipistrel,Nuuva V300,,2019,2030,HybridElectric,,,,,,,,,Cargo VTOL with combustion range extender.
Pipistrel,Velis Electro,,2018,2030,BatteryElectric,,,,,,,,,Conventional takeoff; first type-certificated electric aircraft.
Urban Aeronautics,CityHawk,,2016,2030,,,,,,,,,,"Fancraft lineage; turbine originally, hydrogen fuel cell announced later — confirm per filing year before setting powertrain."
Jetoptera,J-2000,,2018,2030,,,,,,,,,,"Fluidic propulsive system driven by a gas generator — classify per filing, do not assume battery-electric."
